user_name,date,day_of_week,exercise_name,weight_kg,starting_angle,ending_angle,set_number,rep_number
Bob,2024-04-01,Monday,Bicep Curls,5,50.1,164.0,1,1
Bob,2024-04-01,Monday,Bicep Curls,5,53.6,169.2,1,2
Bob,2024-04-01,Monday,Bicep Curls,5,52.9,162.7,1,3
Bob,2024-04-01,Monday,Bicep Curls,5,39.1,155.3,1,4
Bob,2024-04-01,Monday,Bicep Curls,5,47.3,154.3,1,5
Bob,2024-04-01,Monday,Bicep Curls,5,45.9,157.8,1,6
Bob,2024-04-01,Monday,Bicep Curls,5,38.2,159.4,1,7
Bob,2024-04-01,Monday,Bicep Curls,5,45.6,166.7,1,8
Bob,2024-04-01,Monday,Bicep Curls,5,50.5,163.0,1,9
Bob,2024-04-01,Monday,Bicep Curls,5,52.5,157.9,1,10
Bob,2024-04-01,Monday,Bicep Curls,5,49.9,150.6,1,11
Bob,2024-04-01,Monday,Bicep Curls,5,52.7,169.2,1,12
Bob,2024-04-01,Monday,Bicep Curls,5,52.9,157.3,2,1
Bob,2024-04-01,Monday,Bicep Curls,5,45.7,166.8,2,2
Bob,2024-04-01,Monday,Bicep Curls,5,36.8,153.5,2,3
Bob,2024-04-01,Monday,Bicep Curls,5,36.4,152.2,2,4
Bob,2024-04-01,Monday,Bicep Curls,5,41.8,166.7,2,5
Bob,2024-04-01,Monday,Bicep Curls,5,53.7,150.3,2,6
Bob,2024-04-01,Monday,Bicep Curls,5,38.4,155.0,2,7
Bob,2024-04-01,Monday,Bicep Curls,5,39.4,152.8,2,8
Bob,2024-04-01,Monday,Bicep Curls,5,43.8,154.6,2,9
Bob,2024-04-01,Monday,Bicep Curls,5,36.5,169.6,2,10
Bob,2024-04-01,Monday,Bicep Curls,5,43.8,155.9,3,1
Bob,2024-04-01,Monday,Bicep Curls,5,56.8,149.7,3,2
Bob,2024-04-01,Monday,Bicep Curls,5,50.2,155.0,3,3
