user_name,date,day_of_week,exercise_name,weight_kg,starting_angle,ending_angle,set_number,rep_number
John,2024-04-01,Monday,Bicep Curls,5,51.6,163.6,1,1
John,2024-04-01,Monday,Bicep Curls,5,46.7,158.8,1,2
John,2024-04-01,Monday,Bicep Curls,5,41.2,161.6,1,3
John,2024-04-01,Monday,Bicep Curls,5,41.6,160.4,1,4
John,2024-04-01,Monday,Bicep Curls,5,42.1,164.3,1,5
John,2024-04-01,Monday,Bicep Curls,5,37.5,153.4,1,6
John,2024-04-01,Monday,Bicep Curls,5,43.1,155.5,1,7
John,2024-04-01,Monday,Bicep Curls,5,35.4,160.0,1,8
John,2024-04-01,Monday,Bicep Curls,5,38.3,150.0,1,9
John,2024-04-01,Monday,Bicep Curls,5,53.9,168.9,1,10
John,2024-04-01,Monday,Bicep Curls,5,37.1,162.9,2,1
John,2024-04-01,Monday,Bicep Curls,5,38.8,158.2,2,2
John,2024-04-01,Monday,Bicep Curls,5,38.3,154.7,2,3
John,2024-04-01,Monday,Bicep Curls,5,38.1,159.9,2,4
John,2024-04-01,Monday,Bicep Curls,5,49.8,152.0,2,5
John,2024-04-01,Monday,Bicep Curls,5,50.4,150.7,2,6
John,2024-04-01,Monday,Bicep Curls,5,54.3,157.4,2,7
John,2024-04-01,Monday,Bicep Curls,5,49.0,154.4,2,8
John,2024-04-01,Monday,Bicep Curls,5,41.2,155.5,2,9
John,2024-04-01,Monday,Bicep Curls,5,40.3,164.1,2,10
John,2024-04-01,Monday,Bicep Curls,5,50.3,151.9,2,11
John,2024-04-01,Monday,Bicep Curls,5,40.8,149.9,3,1
John,2024-04-01,Monday,Bicep Curls,5,65.7,163.0,3,2
John,2024-04-01,Monday,Bicep Curls,5,38.7,140.4,3,3
John,2024-04-01,Monday,Bicep Curls,5,59.1,169.9,3,4
John,2024-04-01,Monday,Bicep Curls,5,55.3,154.5,3,5
John,2024-04-01,Monday,Bicep Curls,5,51.4,135.2,3,6
John,2024-04-01,Monday,Bicep Curls,5,45.4,167.7,3,7
John,2024-04-01,Monday,Bicep Curls,5,53.9,140.2,3,8
John,2024-04-01,Monday,Bicep Curls,5,70.0,161.0,3,9
John,2024-04-01,Monday,Bicep Curls,5,60.1,140.9,3,10
John,2024-04-08,Monday,Bicep Curls,5,50.4,163.4,1,1
John,2024-04-08,Monday,Bicep Curls,5,46.7,161.9,1,2
John,2024-04-08,Monday,Bicep Curls,5,37.6,167.8,1,3
John,2024-04-08,Monday,Bicep Curls,5,39.3,160.3,1,4
John,2024-04-08,Monday,Bicep Curls,5,46.3,155.8,1,5
John,2024-04-08,Monday,Bicep Curls,5,52.9,156.6,1,6
John,2024-04-08,Monday,Bicep Curls,5,47.6,155.7,1,7
John,2024-04-08,Monday,Bicep Curls,5,37.4,166.3,1,8
John,2024-04-08,Monday,Bicep Curls,5,47.0,155.0,1,9
John,2024-04-08,Monday,Bicep Curls,5,52.7,151.4,1,10
John,2024-04-08,Monday,Bicep Curls,5,43.5,160.8,1,11
John,2024-04-08,Monday,Bicep Curls,5,51.9,162.9,1,12
John,2024-04-08,Monday,Bicep Curls,5,47.0,169.7,2,1
John,2024-04-08,Monday,Bicep Curls,5,45.2,157.0,2,2
John,2024-04-08,Monday,Bicep Curls,5,48.7,158.3,2,3
John,2024-04-08,Monday,Bicep Curls,5,54.5,150.7,2,4
John,2024-04-08,Monday,Bicep Curls,5,48.3,159.4,2,5
John,2024-04-08,Monday,Bicep Curls,5,45.5,151.5,2,6
John,2024-04-08,Monday,Bicep Curls,5,48.9,151.8,2,7
John,2024-04-08,Monday,Bicep Curls,5,35.1,153.3,2,8
John,2024-04-08,Monday,Bicep Curls,5,49.9,153.3,2,9
John,2024-04-08,Monday,Bicep Curls,5,51.9,153.5,2,10
John,2024-04-08,Monday,Bicep Curls,5,40.9,160.3,3,1
John,2024-04-08,Monday,Bicep Curls,5,46.1,139.7,3,2
John,2024-04-08,Monday,Bicep Curls,5,39.2,166.1,3,3
John,2024-04-08,Monday,Bicep Curls,5,55.4,166.3,3,4
John,2024-04-08,Monday,Bicep Curls,5,51.8,166.1,3,5
John,2024-04-08,Monday,Bicep Curls,5,60.5,150.0,3,6
John,2024-04-08,Monday,Bicep Curls,5,43.3,164.6,3,7
John,2024-04-08,Monday,Bicep Curls,5,63.2,147.8,3,8
John,2024-04-08,Monday,Bicep Curls,5,47.9,146.7,3,9
John,2024-04-08,Monday,Bicep Curls,5,56.4,169.9,3,10
John,2024-04-08,Monday,Bicep Curls,5,44.8,155.7,3,11
John,2024-04-08,Monday,Bicep Curls,5,41.0,154.8,3,12
John,2024-04-15,Monday,Bicep Curls,5,46.5,166.9,1,1
John,2024-04-15,Monday,Bicep Curls,5,38.8,169.2,1,2
John,2024-04-15,Monday,Bicep Curls,5,50.8,165.9,1,3
John,2024-04-15,Monday,Bicep Curls,5,46.9,165.5,1,4
John,2024-04-15,Monday,Bicep Curls,5,49.6,158.7,1,5
John,2024-04-15,Monday,Bicep Curls,5,48.2,152.6,1,6
John,2024-04-15,Monday,Bicep Curls,5,54.3,166.4,1,7
John,2024-04-15,Monday,Bicep Curls,5,47.8,153.1,1,8
John,2024-04-15,Monday,Bicep Curls,5,41.8,161.1,1,9
John,2024-04-15,Monday,Bicep Curls,5,52.2,152.7,1,10
John,2024-04-15,Monday,Bicep Curls,5,53.8,159.3,2,1
John,2024-04-15,Monday,Bicep Curls,5,38.0,169.0,2,2
John,2024-04-15,Monday,Bicep Curls,5,53.5,165.5,2,3
John,2024-04-15,Monday,Bicep Curls,5,46.0,166.5,2,4
John,2024-04-15,Monday,Bicep Curls,5,52.2,160.8,2,5
John,2024-04-15,Monday,Bicep Curls,5,36.7,167.2,2,6
